MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,KZBTR,PSWBT,PSWSL,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,HWZUZ,FWZUZ,SHZUZ,STEKZ,MWART,TXGRP,KTOSL,QSSHB,KURSR,GBETR,BDIFF,BDIF2,VALUT,ZUONR,SGTXT,ZINKZ,VBUND,BEWAR,ALTKT,VORGN,FDLEV,FDGRP,FDWBT,FDTAG,FKONT,KOKRS,KOSTL,PROJN,AUFNR,VBELN,VBEL2,POSN2,ETEN2,ANLN1,ANLN2,ANBWA,BZDAT,PERNR,XUMSW,XHRES,XKRES,XOPVW,XCPDD,XSKST,XSAUF,XSPRO,XSERG,XFAKT,XUMAN,XANET,XSKRL,XINVE,XPANZ,XAUTO,XNCOP,XZAHL,SAKNR,HKONT,KUNNR,LIFNR,FILKD,XBILK,GVTYP,HZUON,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T
670,US00,90000012,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,20180515.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000013,2018,1,,05/15/2018,05/15/2018,1400000013.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,90000013.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000013.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1017.0,,,X,,,05/14/2018,1.0,0,0,0
670,US00,90000013,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,20180514.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000014,2018,1,,05/15/2018,05/15/2018,1400000014.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,90000014.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000014.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1030.0,,,X,,,05/15/2018,1.0,0,0,0
670,US00,90000014,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,20180515.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000015,2018,1,,05/15/2018,05/15/2018,1400000015.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,90000015.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000015.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1024.0,,,X,,,05/15/2018,1.0,0,0,0
670,US00,90000015,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,20180515.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000016,2018,1,,05/15/2018,05/15/2018,1400000016.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,90000016.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000016.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1026.0,,,X,,,05/15/2018,1.0,0,0,0
670,US00,90000016,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/15/2018,20180515.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000017,2018,1,,05/16/2018,05/16/2018,1400000017.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,90000017.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000017.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1021.0,,,X,,,05/16/2018,1.0,0,0,0
670,US00,90000017,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,20180516.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000018,2018,1,,05/16/2018,05/16/2018,1400000018.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,90000018.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000018.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1007.0,,,X,,,05/16/2018,1.0,0,0,0
670,US00,90000018,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,20180516.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000019,2018,1,,00/00/0000,00/00/0000,,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,90000019.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000019.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1058.0,,,X,,,05/14/2018,1.0,0,0,0
670,US00,90000019,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,20180514.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000020,2018,1,,05/16/2018,05/16/2018,1400000019.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,90000020.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000020.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1027.0,,,X,,,05/16/2018,1.0,0,0,0
670,US00,90000020,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,20180516.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000021,2018,1,,05/16/2018,05/16/2018,1400000020.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,90000021.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000021.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1055.0,,,X,,,05/16/2018,1.0,0,0,0
670,US00,90000021,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,20180516.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000022,2018,1,,05/16/2018,05/16/2018,1400000021.0,1,D,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,90000022.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000022.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,1005.0,,,X,,,05/16/2018,1.0,0,0,0
670,US00,90000022,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/16/2018,20180516.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,90000023,2018,1,,05/21/2018,05/21/2018,1400000022.0,1,D,,,,S,,,,,"     450,000.00","     450,000.00",0.0,"     450,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/21/2018,90000023.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,90000023.0,,0,0,,,,00/00/0000,0,X,,X,X,,,,,,,,,,,,,,,110000.0,110000,10001.0,,,X,,,05/21/2018,1.0,0,0,0
670,US00,90000023,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,BI00,,,,"     450,000.00","     450,000.00",0.0,"     450,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,05/21/2018,20180521.0,,,,,,SD00,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,600000,,,,,RE,,00/00/0000,,0,0,0
670,US00,100000001,2018,1,,00/00/0000,00/00/0000,,40,S,,,,S,,,,,"      65,000.00","      65,000.00",0.0,"      65,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,00/00/0000,,0,0,0
670,US00,100000001,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,,,,,"      65,000.00","      65,000.00",0.0,"      65,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,329000,,,,X,,,00/00/0000,,0,0,0
670,US00,100000002,2018,1,,00/00/0000,00/00/0000,,40,S,,,,S,BI00,,,,         400.00,         400.00,0.0,         400.00,USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,NAIT1000,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,740000,,,,,RE,,00/00/0000,,0,0,0
670,US00,100000002,2018,2,,00/00/0000,00/00/0000,,40,S,,,,S,BI00,,,,         200.00,         200.00,0.0,         200.00,USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,NAIS1000,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,740000,,,,,RE,,00/00/0000,,0,0,0
670,US00,100000002,2018,3,,00/00/0000,00/00/0000,,50,S,,,,H,,,,,         600.00,         600.00,0.0,         600.00,USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,300200,,,,X,,,00/00/0000,,0,0,0
670,US00,100000003,2018,1,,00/00/0000,00/00/0000,,40,S,,,,S,,,,,         600.00,         600.00,0.0,         600.00,USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,300200,,,,X,,,00/00/0000,,0,0,0
670,US00,100000003,2018,2,,00/00/0000,00/00/0000,,50,S,,,,H,,,,,         600.00,         600.00,0.0,         600.00,USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/18/2018,20180418.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,00/00/0000,,0,0,0
670,US00,1400000003,2018,1,,00/00/0000,00/00/0000,,40,S,,,,S,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,04/23/2018,20180423.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,,,,,,,,,,,,,,,,,100000,,,,X,,,00/00/0000,,0,0,0
670,US00,1400000003,2018,2,,04/23/2018,04/23/2018,1400000003.0,15,D,,,,H,,,,,"      60,000.00","      60,000.00",0.0,"      60,000.00",USD,           0.00,           0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,00/00/0000,20180423.0,,,,,,RFBU,,,0.0,00/00/0000,0,NA00,,,,,,0,0,,,,00/00/0000,0,,,X,X,,,,,,,,,,,,X,,X,110000.0,110000,1001.0,,,X,,,04/23/2018,,0,0,0
